fic,gvkey,datadate,iid,conm
NLD,1166,31/1/06,01W,ASM INTERNATIONAL NV
,26147,30/6/17,01W,
,12657,30/4/06,01W,
PHL,8544,31/8/06,12W,PLDT INC
,1297,31/1/06,01W,
ISR,1491,31/1/06,01W,INFINYA LTD
,1594,31/1/06,01W,
,1781,31/1/06,01W,
PHL,1855,31/1/06,03W,ATLAS CONS MINING & DEV CORP
GBR,1932,31/1/06,01W,BRITISH AMER TOBACCO PLC
GBR,1945,31/1/06,01W,BOC GROUP PLC
ISR,2018,31/1/06,05W,BANK LEUMI LE ISRAEL B M
PHL,2162,31/1/06,01W,BENGUET CORP
,2215,31/1/06,01W,
GBR,2338,31/1/06,01W,REXAM PLC
GBR,2410,31/1/06,01W,BP PLC
GBR,2411,31/1/06,01W,BT GROUP PLC
GBR,2597,31/1/06,01W,CADBURY PLC
,2669,31/1/06,01W,
JPN,2721,31/1/06,01W,CANON INC
,2785,31/1/06,02W,
,3713,31/1/06,02W,
,3933,31/1/06,01W,
,4138,31/1/06,01W,
IRL,4245,31/1/06,01W,ELAN CORP PLC
ISR,4311,31/1/06,01W,ELRON VENTURES LTD
,4335,31/1/06,01W,
,4384,31/1/12,01W,
SWE,4439,31/1/06,04W,TELEFONAKTIEBOLAGET LM ERICS
,4463,31/1/06,02W,
JPN,4925,31/1/06,01W,FUJIFILM HLDGS CORP
,5027,31/1/06,01W,
,5072,31/12/11,05W,
GBR,5180,31/1/06,02W,GSK PLC
AUS,5302,31/1/06,01W,GORILLA GOLD MINES LTD
,5579,31/1/06,01W,
JPN,5650,31/1/06,01W,HITACHI LTD
JPN,5691,31/1/06,01W,HONDA MOTOR CO LTD
GBR,5894,31/1/06,01W,ICI-IMPERIAL CHEM INDS PLC
,6121,31/1/06,01W,
ISR,6203,31/1/06,01W,ISRAEL DISCOUNT BANK LTD
NLD,6305,31/1/06,01W,KLM ROYAL DUTCH AIRLINES
,6465,31/1/06,01W,
JPN,6494,31/1/06,01W,KOMATSU LTD
JPN,6506,31/1/06,01W,KUBOTA CORP
JPN,6512,31/1/06,01W,KYOCERA CORP
,6531,31/1/06,01W,
JPN,6972,31/1/06,01W,MAKITA CORP
MYS,7041,31/1/06,01W,PANSAR BERHAD
JPN,7114,31/1/06,01W,PANASONIC HOLDINGS CORP
,7143,31/1/06,01W,
,7275,31/1/06,01W,
,7406,31/1/06,02W,
JPN,7471,31/1/06,01W,MITSUI & CO LTD
,7515,31/1/06,01W,
JPN,7652,31/1/06,01W,NEC CORP
,7745,31/1/06,01W,
,7758,31/1/06,01W,
JPN,7908,31/1/06,01W,NTT INC
,8003,31/1/06,04W,
DNK,8020,31/1/06,02W,NOVO NORDISK A/S
NLD,8071,31/1/06,02W,OCE NV
ISR,8169,31/1/06,02W,ORBOTECH LTD
ZAF,8303,31/1/06,01W,PALABORA MINING CO LTD
NLD,8546,31/1/06,01W,KONINKLIJKE PHILIPS NV
JPN,8594,31/1/06,01W,PIONEER CORP
,8990,31/1/06,01W,
,9017,31/1/06,01W,
GBR,9098,31/1/06,01W,THOMSON REUTERS PLC
JPN,9135,31/1/06,01W,RICOH CO LTD
GBR,9213,31/1/06,01W,SPORTECH PLC
ISR,9501,31/1/06,01W,SUNY CELLULAR COMMUNICATION
,9551,31/1/06,02W,
JPN,9818,31/1/06,01W,SONY GROUP CORPORATION
JPN,10275,31/3/10,01W,TDK CORPORATION
,9940,31/1/06,01W,
,9952,31/1/06,02W,
JPN,10137,31/1/06,01W,SUMITOMO MITSUI FINANCIAL GR
SWE,11217,31/5/12,08W,VOLVO AB
,10534,31/1/06,01W,
,10599,31/1/06,03W,
JPN,10622,31/1/06,01W,TOSHIBA CORP
,10665,31/1/06,01W,
GBR,10846,31/1/06,01W,UNILEVER PLC
,33767,31/3/17,01W,
,11301,31/1/06,01W,
SWE,11749,31/1/06,05W,SKF AB
ZMB,11758,31/1/06,01W,ZCCM INVESTMENT HOLDINGS PLC
,11948,31/1/06,01W,
,12218,31/1/06,01W,
,12253,31/1/06,01W,
SWE,12368,31/1/06,05W,SVENSKA CELLULOSA AKTIEBOLAG
NOR,12383,31/1/06,01W,NORSK HYDRO ASA
GBR,12384,31/1/06,01W,SHELL PLC
,12569,31/1/06,01W,
ISR,12596,31/1/06,01W,ARYT INDUSTRIES LTD
JPN,12616,31/1/06,01W,WACOAL HOLDINGS CORP
,12656,31/1/06,01W,
GBR,12673,31/1/06,01W,BARCLAYS PLC
,13412,29/2/08,01W,
NZL,12754,31/1/06,01W,ABANO HEALTHCARE GROUP LTD
GBR,12826,31/1/06,01W,HANSON PLC
,13070,31/1/06,01W,
,13071,31/1/06,01W,
ESP,13145,31/1/06,01W,INTL CONSOL AIRLINES GROUP
,13292,31/1/06,01W,
GBR,13294,31/1/06,02W,NATL WESTMINSTER BANK
AUS,13312,31/1/06,01W,BHP GROUP LTD
FRA,13467,31/1/06,02W,AVENTIS SA
IRL,13470,31/1/06,01W,WATERFORD WEDGWOOD PLC
PAN,13498,31/1/06,01W,CARNIVAL CORPORATION & PLC
DEU,15575,31/8/14,15W,COMMERZBANK AG
FRA,13556,31/1/06,01W,THALES SA
,13562,31/1/06,01W,
,13602,31/1/06,01W,
ISR,13633,31/1/06,01W,KOOR INDUSTRIES LTD
ESP,13683,31/1/06,01W,TELEFONICA SA
,13686,31/1/06,01W,
,13699,31/1/06,01W,
,13888,31/12/11,01W,
LUX,13932,30/6/11,01W,SAMSONITE GROUP SA
GBR,13964,31/1/06,01W,DIXONS RETAIL PLC
GBR,14087,31/1/06,01W,BG GROUP PLC
FRA,14447,30/4/22,05W,LVMH MOET HENNESSY LOUIS V
ESP,14140,31/1/06,01W,BANCO SANTANDER SA
,14162,31/1/06,01W,
GBR,14222,31/1/06,01W,AEGIS GROUP PLC
ISR,14229,31/1/06,01W,TAT TECHNOLOGIES LTD
AUS,14242,31/1/06,01W,ANSELL LTD
ISR,14538,31/1/06,01W,TEVA PHARMACEUTICALS
JEY,14605,31/1/06,01W,WPP PLC
,34910,30/4/23,01W,
JEY,14611,31/1/06,01W,UBM PLC
SWE,14620,31/1/06,01W,ELECTROLUX AB
AUS,14802,31/1/06,01W,NATIONAL AUSTRALIA BK
,14836,31/1/06,01W,
GBR,14894,31/1/06,01W,VODAFONE GROUP PUBLIC LTD
VGB,14924,31/1/06,01W,NAM TAI PROPERTY INC
AUS,14977,31/1/06,01W,COLES GROUP LTD - OLD
,15044,31/12/10,01W,
GBR,15103,31/1/06,01W,CORUS GROUP PLC
,15135,31/1/06,01W,
NLD,15172,31/1/06,01W,FIAT CHRYSLER AUTOMOBILES NV
ESP,15181,31/7/13,02W,BANCO BILBAO VIZCAYA ARGENTA
ESP,15319,31/10/13,04W,REPSOL SA
,34953,31/12/17,01W,
,15211,30/9/12,01W,
ESP,15321,31/1/06,01W,ENDESA SA
NLD,15334,31/1/06,01W,AKZO NOBEL NV
DNK,15513,31/7/21,06W,ALM BRAND A/S
,19587,30/6/19,01W,
AUS,15362,31/1/06,01W,WESTPAC BANKING CORP
ITA,15406,31/1/06,01W,BENETTON GROUP SPA
,15415,31/1/06,02W,
,15442,31/1/06,01W,
IRL,15444,31/1/06,01W,CRH PLC
FRA,15482,31/1/06,03W,CREDIT LYONNAIS SA
JPN,15483,31/1/06,01W,DAIWA SECURITIES GROUP INC
DEU,15496,31/1/06,01W,GENERALI DEUTSCHLAND HLDG AG
CHE,15497,31/1/06,03W,NEUE AARGAUER BANK
HKG,15498,31/1/06,01W,HANG SENG BANK LTD
NLD,15504,31/1/06,03W,ABN-AMRO HOLDINGS NV
IRL,15505,31/1/06,01W,AIB GROUP PLC
GBR,15508,31/1/06,01W,ANGLO AMERICAN PLC
GBR,15509,31/1/06,02W,HSBC HLDGS PLC
JPN,15511,31/1/06,02W,HOKUHOKU FINANCIAL GROUP
NLD,15512,31/1/16,03W,ASR NEDERLAND NV
,35035,31/12/17,01W,
ESP,15515,31/1/06,01W,BANCO ESP DE CREDITO
DEU,15518,31/1/06,01W,IKB DEUTSCHE INDUSTRIEBANK
ESP,15522,31/1/06,01W,BANCO POPULAR ESPANOL
AUT,15526,31/1/06,01W,BTV VIER LANDER BANK AG
HKG,15530,31/1/06,01W,BANK OF EAST ASIA LTD
FRA,15532,31/12/20,11W,BNP PARIBAS
CHE,15531,31/1/06,02W,BANQUE CANTONALE VAUDOISE
CHE,15535,31/1/06,01W,BASLER KANTONAL BANK
DEU,15537,31/1/06,01W,BAYERISCHE HYPO- & VEREINSBK
NOR,15538,31/1/06,03W,DNB ASA
GBR,15540,31/1/06,01W,RESOLUTION PLC
DEU,15544,31/1/06,01W,AXA KONZERN AG
GBR,15545,31/1/06,01W,AVIVA PLC
FRA,15547,31/1/06,01W,NATIXIS
ITA,15549,31/1/06,01W,UNICREDIT SPA
JPN,15551,31/1/06,01W,AIOI INSURANCE CO LTD
DNK,15552,31/1/06,01W,DANSKE BANK AS
JPN,15553,31/1/06,01W,NISSAY DOWA GENERAL INSURANC
GBR,15554,31/1/06,01W,THE EDINBURGH INVESTMENT TRU
JPN,15560,31/1/06,01W,FUJI FIRE & MARINE INSURANCE
CHE,15562,31/1/06,01W,BANK CLER AG
SGP,15565,31/1/06,01W,GREAT EASTERN HOLDINGS LTD
JPN,15567,31/1/06,01W,GUNMA BANK LTD
DEU,15576,31/1/06,01W,DEUTSCHE BANK AG
DEU,15578,31/1/06,01W,MANNHEIMER AG HLDG
JPN,15579,31/1/06,01W,CONCORDIA FINANCIAL GROUP
CHE,15590,31/1/06,01W,BASELLANDSCHAFT KANTONL
ITA,15593,31/1/06,01W,MEDIOBANCA BANCA DI CREDITO
,41539,31/5/24,01W,
