gvkey,datadate,iid,tic,cusip,conm,tpci,cik
001003,31/1/05,01,ANTQ,000354100,A.A. IMPORTING CO INC,0,0000730052
001004,31/1/05,01,AIR,000361105,AAR CORP,0,0000001750
001009,31/1/05,01,ABSI.1,000781104,ABS INDUSTRIES INC,0,0000313368
001013,31/1/05,01,ADCT.1,000886309,ADC TELECOMMUNICATIONS INC,0,0000061478
001019,31/1/05,01,AFAP,001038108,AFA PROTECTIVE SYSTEMS INC,0,0000002668
001021,31/1/05,01,IWKS,001058205,AFP IMAGING CORP,0,0000319126
001025,31/1/05,01,AIIN,001348101,A I C INTL INC,0,0000002880
001034,31/1/05,01,ALO.2,020813101,ALPHARMA INC  -CL A,0,0000730469
001037,31/1/05,01,AMCM.,001674100,AM COMMUNICATIONS INC,0,0000318580
001038,31/1/05,01,AEN.2,001669100,AMC ENTERTAINMENT INC -OLD,0,
001045,31/1/05,01,AAMRQ,001765106,AMERICAN AIRLINES GROUP INC,0,0000006201
001050,31/1/05,01,CECO,125141101,CECO ENVIRONMENTAL CORP,0,0000003197
001056,31/1/05,01,ARXX,007768104,AEROFLEX INC,0,0000002601
001062,31/1/05,01,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,7,0001230869
001065,31/1/05,01,7200B,002062107,AT&E CORP,0,0000008076
001072,31/1/05,01,AVX,002444107,AVX CORP,0,0000859163
001073,31/1/05,01,3AWCSA,002448108,AW COMPUTER SYSTEMS  -CL A,0,0000319037
001075,31/1/05,01,PNW,723484101,PINNACLE WEST CAPITAL CORP,0,0000764622
001076,31/1/05,01,PRG,74319R101,PROG HOLDINGS INC,0,0001808834
001078,31/1/05,01,ABT,002824100,ABBOTT LABORATORIES,0,0000001800
001081,31/1/05,01,ABY.2,003924107,ABITIBI CONSOLIDATED INC,0,0001039778
001082,31/1/05,01,SERV.1,81765M106,SERVIDYNE INC,0,0000001923
001084,31/1/05,01,WDDD,98159J200,WORLDS INC,0,0000001961
001086,31/1/05,01,3AMETE,031095102,AMETECH INC,0,0000001969
001094,31/1/05,01,ACETQ,004446100,ACETO CORP,0,0000002034
001096,31/1/05,01C,MRC.,617577101,MORGUARD CORP,0,
001097,31/1/05,01,ACMT,004616108,ACMAT CORP  -CL A,0,0000002062
001104,31/1/05,01,ACU,004816104,ACME UNITED CORP,0,0000002098
001108,31/1/05,01,PRHD,741885107,PRINCETON HOLDINGS INC,0,0000002145
001109,31/1/05,01,AHIX,022167308,ALUF HOLDINGS INC,0,0000747435
001111,31/1/05,02,ATVI.1,004930202,ACTIVISION INC,0,
001117,31/1/05,02,BKTI,05587G203,BK TECHNOLOGIES CORP,0,0000002186
001119,31/1/05,01,ADX,006212104,ADAMS DIVERSIFIED EQUITY FD,7,0000002230
001121,31/1/05,01,AE,006351308,ADAMS RESOURCES & ENERGY INC,0,0000002178
001126,31/1/05,01,ADDC,006698203,ADDMASTER CORP,0,0000002308
001136,31/1/05,01,ADRS,007338106,ADRIAN STEEL CO,0,0000002424
001141,31/1/05,01,AVCD,007518103,ADVANCED COMPUTER TECHNIQUES,0,0000002467
001154,31/1/05,01,AERS.,007692106,AERO SYSTEMS ENGINEERING INC,0,0000002589
001161,31/1/05,01,AMD,007903107,ADVANCED MICRO DEVICES,0,0000002488
001163,31/1/05,01,3ADNME,007910102,ADVANCED MONITORING SYS INC,0,0000315698
001164,31/1/05,10,MCIP,552691107,MCI INC,0,0000723527
001165,31/1/05,01,BFTC,055413108,B-FAST CORP,0,0000350200
001166,31/1/05,90,ASMIY,N07045102,ASM INTERNATIONAL NV,F,0000351483
001173,31/1/05,01,AIM.1,008015307,AEROSONIC CORP,0,0000109471
001177,31/1/05,01,AET,00817Y108,AETNA INC,0,0001122304
001183,31/1/05,01,IDAI.,45169P106,IDNA INC,0,0001004981
001186,31/1/05,01,AEM,008474108,AGNICO EAGLE MINES LTD,0,0000002809
001190,31/1/05,01,AGDY,008495202,AGRI DYNAMICS INC,0,0000002817
001197,31/1/05,01,AEENQ,008878100,AILEEN INC,0,0000002904
001209,31/1/05,01,APD,009158106,AIR PRODUCTS & CHEMICALS INC,0,0000002969
001210,31/1/05,01,AIRT,009207101,AIR T INC,0,0000353184
001225,31/1/05,17,ALP.PN,010392595,ALABAMA POWER CO,1,0000003153
001228,31/1/05,02,ALAN,011612702,ALANCO TECHNOLOGIES INC,0,0000098618
001230,31/1/05,01,ALK,011659109,ALASKA AIR GROUP INC,0,0000766421
001234,31/1/05,01,ATRI,049904105,ATRION CORP,0,0000701288
001239,31/1/05,01,ACV.1,013078100,ALBERTO-CULVER CO,0,0001368457
001240,31/1/05,01,ABS.1,013104104,ALBERTSON'S INC,0,0000003333
001243,31/1/05,01,AL.1,013716105,ALCAN INC,0,0000004285
001246,31/1/05,01,IKN,451713101,IKON OFFICE SOLUTIONS,0,0000003370
001250,31/1/05,01,ADNE,014086102,ALDEN ELECTRONICS INC,0,0000003398
001254,31/1/05,01,MATX,57686G105,MATSON INC,0,0000003453
001257,31/1/05,01,ALX,014752109,ALEXANDER'S INC,0,0000003499
001258,31/1/05,01,CGYNQ,13916P209,CAPCO ENERGY INC,0,0000354767
001259,31/1/05,01,ACEL.,87509Q105,TAMIR BIOTHECHNOLOGY INC,0,0000708717
001262,31/1/05,01C,ALC.,015644107,ALGOMA CENTRAL CORP,0,
001263,31/1/05,04C,AGA.1,01566M204,ALGOMA STEEL GROUP INC,0,0001860805
001266,31/1/05,01,ALCO,016230104,ALICO INC,0,0000003545
001272,31/1/05,02,3ATPTZ.,016664104,PETRO USA INC,0,0000745543
001274,31/1/05,01,Y,017175100,ALLEGHANY CORP,0,0000775368
001276,31/1/05,01,AWRY,017230103,ALLEGHENY & WESTERN RAILWAY,0,0000003650
001279,31/1/05,01,AYE,017361106,ALLEGHENY ENERGY INC,0,0000003673
001283,31/1/05,01,AORGB,017753104,ALLEN ORGAN CO  -CL B,0,0000003753
001297,31/1/05,01,ADPC,019411107,ALLIED PRODUCTS,0,0000003941
001300,31/1/05,01,HON,438516106,HONEYWELL INTERNATIONAL INC,0,0000773840
001308,31/1/05,02,ALY,019645506,ALLIS-CHALMERS ENERGY INC,0,0000003982
001318,31/1/05,01,AT.2,020039103,ALLTEL CORP,0,0000065873
001327,31/1/05,01,SWKS,83088M102,SKYWORKS SOLUTIONS INC,0,0000004127
001331,31/1/05,01,APNI,020825600,ALPINE GROUP INC,0,0000004164
001332,31/1/05,01,3ASUPE,04517Q100,ASIA SUPERNET CORP,0,0000004165
001334,31/1/05,01,NQLIQ,629369109,NQL INC,0,0001122965
001341,31/1/05,02,ATCD,021367206,ALTAIR CORP-DEL,0,0000004206
001356,31/1/05,01,AA.3,013817507,ALCOA INC,0,
001360,31/1/05,01,SNTO,816918205,SENTO CORP,0,0000004317
001363,31/1/05,01,BSWY,086584307,BESTWAY INC,0,0000004344
001372,31/1/05,01,AICOQ,023395106,AMCAST INDUSTRIAL CORP,0,0000027425
001378,31/1/05,01,AMLC,023438104,AMELCO CORP,0,0000004438
001380,31/1/05,01,HES,42809H107,HESS CORP,0,0000004447
001382,31/1/05,01,LCC,90341W108,US AIRWAYS GROUP INC,0,0000701345
001393,31/1/05,01,UHAL,023586100,U-HAUL HOLDING CO,0,0000004457
